,phoenix,nairobi,cape_town,bengaluru,mildura,asuncion,warsaw
lon,247.92596,36.8219,28.0473,77.5946,142.1367,302.4241,21.0122
lat,33.448376,-1.2921,-26.2041,12.9716,-34.2069,-25.2637,52.2297
